 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/css/utilities.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/css/container.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/fontawesome-free-5.15.4-web/css/all.min.css HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/js/handlebars.runtime.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/d3-7.3.0/package/dist/d3.min.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:01] "GET /static/js/socket.io.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/siteContainer.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/textTemplate.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/requests.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/display_logic.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/newChannelModal.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/newUserDisplay.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/joinChannelModal.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/errorModal.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/posts.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/loneModal.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/js/index.js HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "[36mGET /static/js/handlebars.runtime.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "[36mGET /static/js/textTemplate.js HTTP/1.1[0m" 304 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "GET /static/fonts/Quicksand_Book-webfont.woff HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:02] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
127.0.0.1 - - [01/Feb/2023 17:54:03] "POST /chan/list/all HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:03] "GET /static/fontawesome-free-5.15.4-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:10] "POST /access/addname HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:37] "POST /chan/create HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:37] "POST /chan/list/member HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:37] "POST /chan/posts/Firefox%20First HTTP/1.1" 200 -
The WebSocket transport is not available, you must install a WebSocket server that is compatible with your async mode to enable it. See the documentation for details. (further occurrences of this error will be logged with level INFO)
127.0.0.1 - - [01/Feb/2023 17:54:37] "GET /socket.io/?EIO=4&transport=polling&t=OODUFa5 HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:37] "POST /socket.io/?EIO=4&transport=polling&t=OODUFaD&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:37] "POST /socket.io/?EIO=4&transport=polling&t=OODUFaJ&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "GET /socket.io/?EIO=4&transport=polling&t=OODUFaE&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "POST /socket.io/?EIO=4&transport=polling&t=OODUGHc&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "GET /socket.io/?EIO=4&transport=polling&t=OODUGHe&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "GET /socket.io/?EIO=4&transport=polling&t=OODUGHl&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "POST /socket.io/?EIO=4&transport=polling&t=OODUGHm&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:40] "GET /socket.io/?EIO=4&transport=polling&t=OODUGHy&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:41] "POST /socket.io/?EIO=4&transport=polling&t=OODUGaG&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
127.0.0.1 - - [01/Feb/2023 17:54:41] "GET /socket.io/?EIO=4&transport=polling&t=OODUGI5&sid=JwRwbHL-5Gmdws0pAAAA HTTP/1.1" 200 -
